Country,City,Longitude,Latitude,Community,Size,Pct_evangelical_christians,Pct_of_jews,SM_followers,SM_coverage_rate
Florida,Jacksonville,-81.6557,30.3322,Evangelical_community,892062,0.201779697,0.005604992,34000,6.8
Georgia,Johns Creek,-84.198579,34.02401,Evangelical_community,82453,0.303203037,0.006064061,11000,22
Montana,Kalispell,-114.312,48.1958,Evangelical_community,25000,0.2,0.002,10000,200
Montana,Kansas City,-94.5786,39.0997,Christian_evangelists_influences,508090,0.3,0.030506406,28460,1.836129032
Tennessee,Knoxville,-83.9207,35.9606,Jewish_community,188085,0.499997342,0.007975118,1600,1.066666667
California,Lake Forest,-117.6841,33.6469,Christian_evangelists_influences,85809,0.300003496,0.011653789,11177993,11177.993
California,Lake Forest,-117.72,33.5,Evangelical_community,86346,0.231626248,0.023162625,251411,125.7055
Nevada,Las Vegas,-115.1398,36.1699,Christian_evangelists_influences,641903,0.300000156,0.010936232,39030,5.55982906
Nevada,Las Vegas,-115.2,36,Jewish_community,641903,0.300000156,0.010936232,8571,1.220940171
Georgia,Lawrenceville,-83.987962,33.956214,Evangelical_community,30834,0.324317312,0.025945385,13454,16.8175
Kentucky,Lexington,-84.5037,38.0406,Jewish_community,323152,0.5,0.018567114,1123,0.187166667
Georgia,Lithonia,-84.143123,33.723801,Evangelical_community,2828,0.353606789,0.003536068,19084,1908.4
Florida,Longwood,-81.3469,28.7039,Evangelical_community,155355,0.193106112,0.012873741,23000,11.5
California,Los Angeles,-118.243683,34.052235,Evangelical_community,3979576,0.125641526,0.025128305,61081,0.61081
Kentucky,Louisville,-85.7585,38.2527,Jewish_community,615924,0.5,0.013800404,9822,1.155529412
Texas,Lubbock,-101.87893,33.58,Evangelical_community,258862,0.23178373,0.003863062,41734,41.734
Florida,Lutz,-82.4661,28.1511,Evangelical_community,228742,0.174869504,0.013115213,16000,5.333333333
Georgia,Marietta,-84.422054,33.975763,Evangelical_community,60867,0.246438957,0.019715117,2692,2.243333333
North carolina,Marion,-82.00963,35.684,Evangelical_community,7838,0.318958918,0.012758357,7200,72
Texas,Mesquite,-96.59916,32.76726,Evangelical_community,144788,0.345332486,0.00690665,1181,1.181
Georgia,Milner,-84.1938,33.126,Evangelical_community,617,0.405186386,0.008103728,755,151
Minnesota,Minneapolis,-93.265,45.1,Christian_evangelists_influences,429606,0.299998138,0.056330684,1017860,42.06033058
Minnesota,Minneapolis,-93.265,45,Jewish_community,429606,0.299998138,0.056330684,4700,0.194214876
Minnesota,Minnetonka,-93.5033,44.9,Jewish_community,53999,0.500009259,0.046297154,1100,0.44
Montana,Missoula,-113.994,46.8721,Jewish_community,75223,0.500006647,0.001329381,1895,18.95
Tennessee,Nashville,-86.7816,36.1627,Christian_evangelists_influences,669053,0.300000149,0.012256129,514269,62.71573171
Tennessee,Nashville,-86.7,36,Jewish_community,669053,0.300000149,0.012256129,972,0.118536585
Georgia,Norcross,-84.210976,33.941212,Evangelical_community,16563,0.362253215,0.018112661,44476,148.2533333
Oklahoma,Norman,-97.4395,35.2226,Jewish_community,123471,0.49999595,0.004049534,42,0.084
Tennessee,Oak Ridge,-84.2696,36.0104,Jewish_community,29374,0.5,0.001021311,887,29.56666667
Oklahoma,Oklahoma City,-97.521,35.4685,Jewish_community,655057,0.305316942,0.006106339,4329,1.08225
Oklohoma,Oklahoma City,-97.478096,35.65283,Evangelical_community,655057,0.305316942,0.006106339,39000,9.75
Florida,Orlando,-81.3792,28.5383,Evangelical_community,287442,0.208737763,0.013915851,21700,5.425
Arizona,Phoenix,-112.074,33.4484,Christian_evangelists_influences,1680992,0.199999762,0.049375607,453512,5.464
Texas,Plano,-96.801972,33.060174,Evangelical_community,288061,0.347148694,0.027771896,14016,1.752
California,Porter Ranch,-118.57028,34.28055,Evangelical_community,30571,0.327107389,0.016355369,57286,114.572
North Carolina,Raleigh,-78.6382,35.7796,Jewish_community,474069,0.210939758,0.012656385,1100,0.183333333
North carolina,Raleigh,-78.61,35.851338,Evangelical_community,474069,0.210939758,0.012656385,2467,0.411166667
Nevada,Reno,-119.8138,39.5296,Jewish_community,255601,0.500001956,0.023474087,873,0.1455
Texas,Richmond,-95.76078,29.580764,Evangelical_community,12489,0.40035231,0.016014092,16000,80
California,Riverside,-117.396156,33.95335,Evangelical_community,314998,0.317462333,0.01904774,26301,4.3835
Georgia,Rome,-85.18752,34.257038,Evangelical_community,36742,0.272168091,0.010886724,337,0.8425
Indiana,Saint John,-87.4719,41.4505,Evangelical_community,17693,0.22607811,0.002825976,3400,68
Texas,San Antonio,-98.4936,29.4241,Christian_evangelists_influences,1547253,0.200000259,0.009694601,1288696,85.91306667
Texas,San Antonio,-98.616241,29.501306,Evangelical_community,1434625,0.174261567,0.006970463,138315,13.8315
Texas,San Antonio,-98.4936,29.4241,Jewish_community,1547253,0.200000259,0.009694601,2300,0.153333333
Georgia,Savannah,-81.1096,32.0035,Jewish_community,145000,0.5,0.024137931,9078,2.593714286
Indiana,Shelbyville,-85.7667,39.5234,Evangelical_community,19191,0.260538794,0.007816164,1500,10
Texas,Southlake,-97.134178,32.941236,Evangelical_community,31292,0.319570497,0.009587115,285944,953.1466667
Texas,Spring,-95.4166,30.065,Evangelical_community,60000,0.5,0.008333333,36,0.072
Minnesota,St. Paul,-93.09,44.9537,Jewish_community,307193,0.500001628,0.1302113,1657,0.041425
Georgia,Sugar Hill,-84.039413,34.111669,Evangelical_community,21747,0.321883478,0.013795006,20198,67.32666667
California,Sun Valley,-118.41357,34.23963,Evangelical_community,81788,0.244534651,0.012226733,138548,138.548
Texas,The Woodlands,-95.46132,30.16582,Evangelical_community,116278,0.258002374,0.00430004,36796,73.592
Oklahoma,Tulsa,-95.99,36.2,Jewish_community,402742,0.372446877,0.003724469,1853,1.235333333
Oklohoma,Tulsa,-95.9,36.1215,Evangelical_community,402742,0.372446877,0.003724469,92992,61.99466667
Georgia,Valdosta,-83.289892,30.848927,Evangelical_community,56457,0.318826718,0.010627557,1456,2.426666667
Virginia,Vienna,-77.2653,38.9012,Christian_evangelists_influences,16125,0.2,0.012403101,248000,1240
Texas,Waco,-97.146669,31.549333,Evangelical_community,138486,0.216628396,0.003610473,12965,25.93
North carolina,Wake Forest,-78.520138,35.991953,Evangelical_community,45629,0.438317737,0.010957943,2400,4.8
Georgia,Warner Robins,-83.615544,32.613001,Evangelical_community,79589,0.314113759,0.01256455,12000,12
North carolina,Wilmington,-77.881778,34.211394,Evangelical_community,122610,0.244678248,0.020389854,1045,0.418
North Carolina,Winston-Salem,-80.2442,36.0999,Jewish_community,246328,0.5,0.012178883,1400,0.466666667
Georgia,Woodstock,-84.519375,34.101487,Evangelical_community,33039,0.363207119,0.01513363,5777,11.554
North carolina,Youngsville,-78.487628,36.041726,Evangelical_community,1307,0.382555471,0.015302219,2900,145
